Implementing a block chain      000000000000Jan  5 00:00:00 197000000000000000000000000000000000000000000000000000000000
architects of our republic      37      voidJan  7 20:38:13 2018000004ae04c2e9d82d4f1cd370935eb6.eqtscjdf6h9vsecgd4qbf5k
wrote the magnificent words of  38      voidJan  7 20:38:13 2018000003a8ab6918692301e3701b4af0fa.mj02i1mqr7gvsoje52lf147
the Constitution and the        39      voidJan  7 20:38:14 201800000b4ddf8348f78626cc8dbe94f2d2.3mb39k3k8s9oqv3tekra8jc
Declaration of Independence,    40      voidJan  7 20:38:14 201800000cb51a1b55d2555da1986648da34.ups0noat4srv2vb07u2tcti
they were signing a promissory  41      voidJan  7 20:38:15 201800000dceba53de923d46a7cdc96cb077.2nuigl37pmabqco6udd1kn3
note to which every American    42      voidJan  7 20:38:16 2018000002d41667fd2ea9191e3540d191ee.tp4jg11rb7id8c7cdonoe88
was to fall heir. This note     43      voidJan  7 20:38:16 201800000816a08a2d81e33fc3372e378e15.4sdha2b8mhcpfbq23o4f2qv
was a promise that all men,     44      voidJan  7 20:38:17 20180000090fe5c64335d41951cc0f762032.5f4bggc0dn32o9qim2tvc49
yes, black men as well as       45      voidJan  7 20:38:18 2018000007dfd56ed6d56bbbceb2a1c8376b.r8912gn8eq40e1df56kvtbd
white men, would be guaranteed  46      voidJan  7 20:38:19 201800000acc11af9c9691c4460be8d93711.kclekaht4qgt1iae6jeuu3e
the unalienable rights of       47      voidJan  7 20:38:19 20180000021ecf7d8902c6d4931c3d98b74c.tmdfl2kqkesrejtf624tmoh
life, liberty, and the pursuit  48      voidJan  7 20:38:19 20180000073b280227f55ac290e684d2c343.s6mf9aren3j6r4ms4h92ppc
of happiness. It is obvious     49      voidJan  7 20:38:20 201800000615a0ddbf6ccfad5a9264fc1e39.8fotqbejagvk7hdinmi0muj
today that America has          50      voidJan  7 20:38:21 201800000c996a55d38a55d6604946d9918d.smgkdqhoocrs5fsvephnder
defaulted on this promissory    51      voidJan  7 20:38:21 201800000c4039f915d08299a99903b7884b.s6tn6hegj1g0kmu9huu531o
note insofar as her citizens    52      voidJan  7 20:38:21 2018000000f957f0bb75a47414afc643d0e8.sgh4li9dsjgk1r3qfv5tp35
of color are concerned.         53      voidJan  7 20:38:21 2018000002fe1fb051ae4075412c8245a9f3.vp5rksohh4q0q6aa2of7hmc
Instead of honoring this        54      voidJan  7 20:38:22 201800000313fa488d6cf797df3dcd075d75.3hp6aq4s5hgnus532skm24l
sacred obligation, America has  55      voidJan  7 20:38:22 201800000a427526cac2a444ea1cda004449.18asqdpibnc8tc0fqgrrir4
given the Negro people a bad    56      voidJan  7 20:38:23 201800000882883f7f9ea17da72b8c2457a4.kp4h4p9ag6ne3r833hdrc3m
check, a check which has come   57      voidJan  7 20:38:24 201800000a6d5ad776f6db515dbbffd0d0f7.6iqbu8jebg8vf6og6komnsp
back marked "insufficient       58      voidJan  7 20:38:24 201800000110a4758db02ebc0e7d28dc28e2.3ljj36iek4615kcgbhefgck
funds."                         59      voidJan  7 20:38:24 20180000060dab771a5642afc21ddb8ed34e.4fprnrm9o8u8pcdol603gl7
